CLID	NAME	1X	2X	3X	4X	5X	BT474	MCF7	SKBR3	T47D	NORWAY 7	NORWAY 10	NORWAY 11	NORWAY 12	NORWAY 14	NORWAY 15	NORWAY 16	NORWAY 17	NORWAY 18	NORWAY 19	NORWAY 26	NORWAY 27	NORWAY 39	NORWAY 41	NORWAY 47	NORWAY 48	NORWAY 53	NORWAY 56	NORWAY 57	NORWAY 61	NORWAY 65	NORWAY 100	NORWAY 101	NORWAY 102	NORWAY 104	NORWAY 109	NORWAY 111	NORWAY 112	STANFORD 2	STANFORD 14	STANFORD 16	STANFORD 17	STANFORD 23	STANFORD 24	STANFORD 35	STANFORD 38	STANFORD A	BT474 (mRNA)	MCF7 (mRNA)	SKBR3 (mRNA)	T47D (mRNA)	NORWAY 7 (mRNA)	NORWAY 10 (mRNA)	NORWAY 11 (mRNA)	NORWAY 12 (mRNA)	NORWAY 14 (mRNA)	NORWAY 15 (mRNA)	NORWAY 16 (mRNA)	NORWAY 17 (mRNA)	NORWAY 18 (mRNA)	NORWAY 19 (mRNA)	NORWAY 26 (mRNA)	NORWAY 27 (mRNA)	NORWAY 39 (mRNA)	NORWAY 41 (mRNA)	NORWAY 47 (mRNA)	NORWAY 48 (mRNA)	NORWAY 53 (mRNA)	NORWAY 56 (mRNA)	NORWAY 57 (mRNA)	NORWAY 61 (mRNA)	NORWAY 65 (mRNA)	NORWAY 100 (mRNA)	NORWAY 101 (mRNA)	NORWAY 102 (mRNA)	NORWAY 104 (mRNA)	NORWAY 109 (mRNA)	NORWAY 111 (mRNA)	NORWAY 112 (mRNA)	STANFORD 2 (mRNA)	STANFORD 14 (mRNA)	STANFORD 16 (mRNA)	STANFORD 17 (mRNA)	STANFORD 23 (mRNA)	STANFORD 24 (mRNA)	STANFORD 35 (mRNA)	STANFORD 38 (mRNA)	STANFORD A (mRNA)
IMAGE:430192	chr6|nt642645||AA010327||ESTs	0.26	-0.07	0	-0.03	-0.03	-0.4	0.4	-0.84	0.14	0.01	-0.42	-0.04	-0.2	-0.18	-0.15	-0.12	-0.12	0.04	-0.56	-0.17	-0.34	-0.18	-0.07	-0.14	0.18	-0.14	0.08	-0.2	-0.15	-0.15	-0.06	-0.29	-0.07	-0.15	-0.06	0.08	0.06	0.06	-0.47	0.07	-0.18	-0.15	-0.07	0.31	0.14	0.59		0.04	-1.66	1.76	1.46	0.16	0.25	1.89	-0.83	-0.52	-0.03	-0.11	-0.69	0.87	-1	0.07	0.62	-1.18	-0.43	-0.61	-0.39	0.21	0.89	-0.63	-0.66	-0.4	0.21	0.11	0.02	-0.57	1.09	0.57		-0.73	-0.54	0.44	0.27	0.41			-0.3
IMAGE:230316	chr6|nt723516||H80847||ESTs	-0.15	0.1	-0.17	0.14	-0.06	0.07	0.18	-0.4	0.21	0.24	0.21	0.26	-0.36	0.03	-0.04	0.21	-0.18	0.08	0.34	0.2	0.08	0.12	0.04	0.14	0.33	-0.06	0.19	0.04	0.11	0.2	0.15	0.12	0.2	0	0.56	0.26	0.06	-0.09	0.15	0.01	-0.01	-0.42	0.11	0.16	0.04	0.32	-0.39	0.5			-0.57		0.22		0.35	1.03	0.23	0.94			-0.07	-1.01	-0.26		-0.06	0.67	-0.52	-0.28		0.53	-0.65	-0.94			0.28	0.17	0.09			0.85	-2.01	-0.42		0.91			0.45
IMAGE:358885	"chr6|nt1734927||W94629||Homo sapiens cDNA FLJ11796 fis, clone HEMBA1006158, highly similar to Homo sapiens transcription factor forkhead-like 7 (FKHL7) gene|(2)"	0.29	0.08	0.05	0.08	-0.06	-0.02	0.06	0.25	-0.1	0.55	0.06	0.01	-0.09	0.18	0.52	0.18	-0.06	-0.02	-0.03	0.3	0.09	-0.08	0.33	0.05	0.19	-0.05	-0.01	-0.06	-0.01	0	0.17	-0.04	-0.01	0.12	0.17	0.12	-0.07	0.05	0.09	-0.07	-0.13	-0.25	-0.06	0.03	-0.02	0.28	-0.28	0.08	0	-0.32	-1.02	-0.49	-0.31	-1.06	0.14	-0.72	-0.39	0.45	-0.68	-0.41	-0.35	-0.45	0.19	2.3	-0.21	-0.56	-0.21	-0.2	0.63	0.2	0.65	0.29	-0.02	-0.51	-0.4	2.05	-0.4	-0.37	0.24	1.21	-0.59	0.05	1.68	-0.18	-0.22	-0.58	-0.62
IMAGE:266586	chr6|nt2569440||N23009||ESTs	-0.14	-0.4	-0.22	-0.18	-0.3	-0.09	0.36	-0.62	0.06	0.04	-0.27	-0.18	-0.49	-0.42	-0.74	-0.22	-0.07	-0.27		-0.27	-0.25	-0.3	-0.18	-0.1	0.15	-0.34	-0.17	-0.23	-0.18	-0.23	-0.3	-0.18	-0.4	-0.1	0.18	0.04	-0.14	-0.03	-0.22	-0.18	-0.18	-0.74	-0.22	-0.01	-0.1	0.41	-0.24	0.02		-0.78	-0.08	-0.24	0.4	1.16	-0.24	-0.45	0.22	0.06	0.16	-0.07	-0.32	0.55	-1.07		-0.11	-1.12	-0.18	0.22		-0.6	-0.92	-0.11	0.7	0.39	0.07	0.12	0.16	0.45		-0.06	-0.41	-0.07	0	0.57		0.23	0.51
IMAGE:626364	chr6|nt2915402|6pter-6p21.1|AA188768|LOC56897|putative helicase RUVBL	0.14	-0.18	-0.03	0	-0.07	-0.1	0.39	-0.76	0.12	0.08	0.01	0.36	-0.22	-0.14	0.1	0.18	-0.03	-0.07	-0.03	0.24	-0.04	0.26	0.33	0.18	0.46	-0.06	0.24	0.24	0.08	-0.17	0.23	-0.14	-0.01	-0.03	0.49	0.32	0.03	0.25	0.11	0.01	-0.01		0.33		0.07	0.52	0.33	1.42	0.11	0.67	0.57	-0.64	-0.11		-0.25	0.55	-0.09	-0.38	0.11	0.5	0.91	0.85	-0.85	0.44	-0.58	0.54	-0.64	0.06	-0.2	-0.43	-0.61	0.02	-1.23	-0.11	-1.38	0.26	0.95			0.62	-0.61	0.15	0.04	0.66	-0.2	0.13	0.94
IMAGE:154482	"chr6|nt2982991|6p25|R54664|SERPINB1|serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1|(2)"	-0.23	-0.33	0.08	0.03	0.06	0	-0.11	-0.37	-0.15	0.09	-0.06	0.02	0.09	0.04	0.06	0.03	0.08	0.03	0.12	-0.02	-0.12	0.08	0.14	-0.06	0.34	-0.08	0.09	0.07	0.01	0	0.01	-0.09	-0.02	0.04	0.15	0.06	0.16	-0.06	0.07	-0.15	-0.06	0.13	-0.01	0.06	-0.11	0.29	-0.78	0.23	-1.52	-1.26	0.3	-0.23	-0.96	0.06	-0.16	-0.28	-0.08	-0.4	0.93	0.15	0.3	0.66	-0.36	1.31	-0.16	-0.62	-0.6	0.46	0.31	-0.46	0.53	0.21	0.08	-0.02	-0.21	-0.25	0.15	-0.58	-0.06	-0.37	0.12	-0.08	-0.07	0.45	-0.32	0.33	-0.02
IMAGE:769948	"chr6|nt3039281|6p25|AA430512|SERPINB9|serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 9"	0.04	0.04	0.04	0.24	0.07	0.1	0.08	-0.1	0.06	0.03	0.11	-0.09	-0.04	0.08	0.46	0.11	-0.04	-0.03	0.1	-0.03	0.31	0.15	0.24	0.12	0.32	-0.03	-0.04	0.06	0.04	0.12	-0.23	0.23	0.07	0.04	0.24	0.16	0.18	0.12	0.18	-0.04	0.06	-0.09	-0.17	0.2	0.15	0.21	0.18	0.91	1.12	0.42	-0.1	0.5	-0.49	0.16	0.25	-0.2	-0.08	-0.38	-0.17	0.16	-0.04	0.09	-0.3	0.34	-0.13	0.25	0.07	-0.38	-0.15	-0.32	-0.49	-0.08	-0.2	-0.13	0.11	-0.1	0.4	-0.17	0.03	0.2	-0.49	0.25	1.11	0.12	-0.06	0.05	0.22
IMAGE:753862	"chr6|nt3114265|6p25|AA410517|SERPINB6|serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6"	0.31	0.15	0.24	0.19	0.23	0.1	0.56	0.04	0.3	0.19	-0.23	-0.1	-0.06	-0.15	0.01	-0.03	0.07	0	-0.18	-0.2	0.21	0	-0.23	-0.04	-0.14	-0.06	-0.2	-0.15	-0.14	0.34	-0.04	0.14	0.14	0.19	-0.2	0.07	-0.03	0.04	0.03	0.08	0.1	0.16	0.4	0.14	0.18	0.25	0	1.17	-0.02	0.38	0.78	-1.94	1.04	-0.64	1.1	0.67	-0.61	-0.27	-0.19	-0.22	0.95	0.05	0.41	0.74	0.04	1.11	0.18	0.36	-0.76	0.71	0.43	0.4	-0.94	1.01	-0.66	-0.54	-1.15	-0.2	0.53	-0.4	-1.01		0.12	-0.56	-0.49	-0.13	-0.05
IMAGE:824024	"chr6|nt3177773|6pter-q12|AA490938|NMOR2|NAD(P)H menadione oxidoreductase 2, dioxin-inducible"	0.12	0.24	0.25	0.48	0.14	0.1	0.55	-0.62	0.28	-0.12	-0.09	0.03	0.26	0.08	0.42	0.1	0.06	-0.03	0.21	0.21	-0.2	-0.36	0.23	0.25	0.38	0.1	-0.22	0.2	0.18	-0.12	0.21	0.19	-0.17	0.08	0.04	0.19	-0.09	-0.22	0.04	0.11	0.07	0.12	0	0.04	0.36	0.38	0.52	0.98	-0.28	0.23	-0.02	0.01	-0.88	-0.81	0.23	0.26	0.16	0.14	0.16	0.79	0.29	-0.33	-0.06	-0.81	-0.19	0.32	-0.17	0.32	0.29	-0.15	-0.45	-0.17	-0.56	0.37	0.12	0.7	0.11	-0.35	-0.28	0.74	1.17	-0.68	0.07	-0.04	0.19	-0.38	-0.26
IMAGE:154465	chr6|nt3283445|6p25|R54654|BPHL|biphenyl hydrolase-like (serine hydrolase; breast epithelial mucin-associated antigen)	-1.18	-0.58	-0.42	-0.86	-0.92	0.33	0.23	0.11	0.24	-0.45	-0.04	0	0.04	-0.09	-0.22	-0.3	0.11	0.1	-0.43	0.19	0.16	0.21	-0.3	-0.36	-0.54	0.04	-0.1	-0.06	-0.4	-0.47	-0.01	-0.04	0.06	0.08	-0.15	0.01	0.03	-0.18	0.26	-0.42	0.12	0.39	0	-0.71	-0.07	-0.4	0.04	0.92	-0.43	0.22	0.34	0.41	-0.34	-0.11	-0.17	0.63	0.13	-0.17	0.5	0.3	0.35	0.42	-0.32	0.12	0.18	0.18	-0.8	0.18	-0.41	-0.62	-0.67	0.01	0.02	0.29	-0.34	-0.33	-0.47	-0.52	0.02	0.28	-0.19	0.18	-0.24	0.21	0.41	0.28	0.24
IMAGE:951125	"chr6|nt4121388|6|AA620556|PECI|peroxisomal D3,D2-enoyl-CoA isomerase"	-0.03	0.19	0.15	0.08	-0.09	-0.12	0.34	-0.76	0.24	0.2	-0.25	0.12	-0.03	0.04	-0.06	0.23	-0.04	-0.15	-0.01	0.16	-0.23	-0.18	0.34	0.26	0.57	0.07	0.39	0.26	-0.01	0.21	0.19	0.07	0.07	-0.04	0.53	0.26	0.24	0.1	0.1	0.11	0.18	-0.1	-0.07	0.4	0.2	0.7	1.99	0.54	0.27	0.77	2.07		-0.06	-0.82	-1.7	0.64	0.88	-0.62	1.38	-0.57	0.55	1.25	0.21	-0.73	-0.14	0.32	-0.57	0.89	-0.25	-0.55	-0.21	-0.08	-1.6	-0.12	-0.21	-0.21	0.27	-0.73	-0.3	-0.88	0.17	0.82	-0.7	0.43	0.28	0.4	0.65
IMAGE:376298	chr6|nt5147410|6pter-6p21.1|AA041185|CGI-203|CGI-203 protein	0.3	0.11	0.12	0.04	-0.06	-0.12	0.44	-0.79	0.08	0	-0.54	-0.4	-0.17	-0.01	-0.01	0.28	0.04	0.07	-0.1	0.21	-0.06	-0.18	0.32	0.3	0.54	0.11	0.12	-0.03	-0.04	0.2	0.04	-0.22	0.01	0.06	0.36	0.33	-0.01	0.01	0.15	0.14	0.12	-0.14	-0.03	0.4	0.2	0.71	0.24	1.16	-0.51	0.24	0.79	-0.39	0.3	-0.96	-0.05	-0.1	-0.22	-0.28	0.28	-0.22	0.57	0.37	0	0.34	-0.48	0.84	-0.79	-0.1	0.28	0.37	0.15	0.24	-0.51	0.28	0.41	0.44	-0.12	0.49	-0.58	-0.36	-0.25	-0.15	-0.03	-0.2	0.1	-0.42	-0.03
IMAGE:843109	chr6|nt5393738|*11|AA486503|FARS1|phenylalanine-tRNA synthetase	0.58	0.58	0.24	0	0.03	-0.34	0.34	-0.81	0.23	0.01	-0.3	-0.32	0.2	-0.01	0.06	0.14	0.01	0.04	-0.03	-0.06	-0.3	-0.49	0.28	0.18	0.4	0.07	0.31	0.15	0.06	0.06	0.14	-0.34	0.07	0.18	0.41	0.32	0.03	0.03	0.25	0.15	0.19	-0.06	0.06	0.48	0.37	0.76	0.18	0.92	-0.21	0.03	0.3	-0.26	-0.26	0.7	-0.06	0.29	0.2	-0.25	-0.34	-0.25	0.11	0.72	0.12	-0.08	-0.08	0.1	-0.13	0.03	-0.39	-0.28	-0.06	0.01	-0.39	0.37	0.57	-0.02	0.07	0.14	-0.75	-0.36	-0.1	-0.38	-0.03	-0.05	0.22	0.1	0.45
IMAGE:140197	chr6|nt6051011|6pter-6q15|R66101|LOC51299|neuritin	0.39	-0.22	0.06	-0.18	0.11	-0.15	0.28	-0.69	0	-0.12	-0.1	-0.18	-0.15	-0.1	-0.1	-0.15	-0.06	-0.04	-0.23	-0.01	-0.56	0	-0.12	-0.18	0.08	-0.3	-0.42	-0.22	-0.15	0	0.12	-0.1	-0.03	-0.14	-0.01	-0.01	-0.23	0.03	0.06	-0.12	-0.2	-0.17	0.03	0.01	0.15	0.12	-2.08	-3.14	-3.02		-1.05	-0.19	0.8		-0.14	0.74	0.05	0.32	-1.08	0.03	-0.06	-1.28	0.77	0.03	-0.77	-0.58	-0.52	-0.67	0.43	1.3	1.5	0.33	0.81	0.19	0.61	1.52	0.49	1.12		-1.56	-0.65	-0.38	-0.99	-1.43	0.77	0.24	-0.77
IMAGE:785975	"chr6|nt6197097|6p25.3-p24.3|AA448599|F13A1|coagulation factor XIII, A1 polypeptide"	-0.1	0	0.16	0.19	0.07	0	0.24	-0.71	0.08	0.24	0.15	0.03	0.32	0.31	0.21	0.12	-0.07	0.15	0.18	0.12	0.15	0.16	0.2	0.18	0.59	0.06	0.23	0.28	0.11	0.2	0.32	0.3	0.01	0.01	0.41	0.21	0.11	0.11	0.21	0.1	-0.12		0.08	0.25	0.14	0.38		-3.37	-3.24	-2.89	0.01	0.25	-0.21	-1.81	-0.8	0.5	0.03	1.24	0.1	-1.77	0.2	-1.04	2.23	1.01	0.66	0.25	0.14	0.32	-1.31	1.69	3.17	0.62	1.11	0.43	-0.09	-1.15	-0.12	1.24	-0.52	-1.46	-1.16	-0.28	-0.72	-1.64	-1.09		
IMAGE:785616	"chr6|nt7714146|6p|AA449004|SSR1|signal sequence receptor, alpha (translocon-associated protein alpha)|(2)"	0.12	0.08	0.16	0.15	-0.04	0.11	0.28	-0.25	0.22	-0.11	0.1	-0.02	0.03	0.32	0.15	0.08	0.21	0	0	0.03	-0.73	0.52	-0.43	0.14	0.32	0.04	0.03	0.14	0.22	-0.09	0.01	0.07	0.08	0.07	0.15	0.19	-0.06	0.12	0.24	0.15	0.03	0.09	0.04	0.11	0.31	0.68	0.27	0.57	0.22	0.37	0.83	-0.76	-0.33	0.06	0.16	0.41	0.09	0.05	-0.23	0.23	0.78	0	-0.56	0.61	0.23	0.76	-0.63	0.24	-0.01	-0.3	0.17	-0.46	-0.01	0.11	0.08	0.65	0.45	-0.03	-0.6	-0.23	0.22	-1.02	-0.33	-0.09	-0.46	-0.39	0.25
IMAGE:589433	chr6|nt8011013||AA146802|RPC|RNA 3'-terminal phosphate cyclase	-0.18	0.15	-0.07	-0.18	0.07	0.18	0.38	0	0.38	-0.36	0.16	0.53	0.44	-0.23	-0.27	-0.03	0	0	-0.4	0.12	-0.27	-0.09	-0.38	-0.38	-0.2	-0.1	0.01	0.01	-0.22	-0.17	-0.07	0.06	-0.03	0.04	0.03	-0.03	-0.01	-0.1	0.11	-0.27	0.08	0.25	-0.15	-0.27	0.21	0.32	-0.49	-0.86	0.66	-0.97	0.49	-0.56	0.19	-0.25	0.19	0.66	-0.36	0.03	-0.27	-0.45	0.03	-0.07	-0.14	0.72	-0.23	0.84	-0.34	0.59	0.19	-0.09	-0.45	-0.15	-0.06	-0.2	-0.67	0.18	0.11	-0.18	0.06	-0.07	0.11	-0.22	0.2	0.58	0	-0.29	-0.06
IMAGE:306921	chr6|nt8069642|6p24.3-p25.1|N91962|EEF1E1|eukaryotic translation elongation factor 1 epsilon 1	0.04	0.1	0.12	0.01	0.03	-0.38	0.41	-0.06	-0.27	-0.29	-0.42	-0.18	-0.23	-0.17	-0.09	0.15	-0.06	-0.1	-0.15	0.16	-0.22		-0.01	0.03	0.43	0.15	0.11	0.01	-0.07	-0.23	-0.49	0.08	-0.14	-0.14	0.15	0.03	-0.03	0	0.19	0.1	-0.14	-0.04	-0.17	0.24	0.21	0.4	1.25	1.47	1.38	1.76	0.5	-1.21	0.9	-0.97	-0.25	-0.15	0.61	0.05	0.82	0.5	0.21	0.75	-0.09	-0.59	0	1.92	-0.54	0.65	-0.77	0.21	-0.32	-0.06	-0.12	0.18	-0.03	0.54	0.26	-0.39	-0.43	0.08	-0.28	-0.77	-0.18	-0.18	-0.28	-0.92	0.35
IMAGE:264347	"chr6|nt8260221||N20199||Homo sapiens cDNA: FLJ21353 fis, clone COL02771|(2)"	-0.07	-0.4	-0.28	-0.2	-0.27	-0.32	-0.26	0.19	-0.55	0.04	-0.07	-0.21	-0.06	0.15	0.34	-0.03	-0.06	-0.09	0.03	-0.19	0.06	-0.08	-0.17	-0.24	-0.22	-0.45	-0.19	0.08	-0.1	-0.08	-0.22	-0.2	-0.32	-0.32	-0.42	-0.2	-0.24	-0.3	-0.16	-0.48	-0.02	-0.28	-0.12	-0.18	-0.43	0.1	-0.08	-0.13	0.56	0.07	0.32	-0.13	0	-0.52	0.17	-0.03	-0.27	-0.11	-0.29	-0.3	0.05	0.14	0.15	0.16	-0.03	-0.01	-0.38	0.05	0.16	0.56	0.38	0.04	0.01	0.41	0.31	-0.15	-0.22	-0.23	-0.3	0.27	0.39	-0.06	-0.19	-0.31	-0.34	0.09	0.13
IMAGE:768168	chr6|nt8268176|6p24-p23|AA424833|BMP6|bone morphogenetic protein 6	0.08	-0.2	0.14	-0.09	-0.01	-0.1	0.39	0.32	0.18	0.25	0.18	0.26		0.29	0.45	0.24	0.11	0.07	0.29	0.18	0.11	0.29	0.01	0.18	0.33	-0.04	0.28	0.21	0.04	0.12	-0.01	0.16	0.16	0.01	0.29	0.21	0.04	0.07	0.12	0.01	0.06	0	0.16	0.25	0.01	0.74		-1.47			0.49	1.12	-0.41		0.04	-0.82	0.14	-0.43		0.83	-0.26	-0.71	0.01		-0.15	-0.51	-0.54	-0.11	1.98	0.88	0.62	-0.67	0.2	-1.8	0.46	0.45	-1.51	0.34		0	0.54		-0.21				
IMAGE:743136	chr6|nt8892970|6pter-6p21.1|AA399961|LOC51000|CGI-19 protein|(2)	0	0.03	-0.1	-0.01	-0.1	-0.18	0.26	-0.64	0.06	-0.01	0.1	0.05	-0.42	-0.26	-0.21	-0.08	-0.18	-0.05	-0.2	-0.16	-0.13	0.13	-0.11	-0.05	0.27	-0.18	0.07	-0.17	-0.22	-0.34	-0.17	-0.15	-0.17	-0.16	0.21	0.08	0.02	-0.08	0.02	0	-0.19	-0.45	-0.18	0.31	0.06	0.31	-0.26	-0.15	-0.27	-1.13	0.23	-0.77	0		0.13	0.07	-0.04	0.32	0.15	-0.1	-0.08	0.23	0.28	-0.03	0.09	0.81	-0.53	0.1	-0.3	-0.08	0.29	-0.13	-0.36	0.07	-0.46	0.14	0	-0.26	-0.27	0	0.07	-0.18	-0.21	0.15	0.26	-0.07	0.28
IMAGE:293032	chr6|nt10814707|6p24|N63770|TFAP2A|transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha)|(3)	0.08	0.1	0.26	0.19	0.14	0.35	0.44	-0.03	0.47	0.15	0.16	0.39	0.07	0.03	-0.17	-0.02	0.18	-0.11	-0.15	0.11	0.24	0.1	-0.08	0.08	0.16	0.14	-0.02	0.24	0.27	-0.12	0.07	-0.04	-0.03	0.09	0.38	0.06	-0.02	0.15	0.3	0.06	0.39	0.16	-0.16	0.04	0.04	0.19	-0.29	-0.1	0.14	0.26	0.67	-0.42	0.58	-1.14	0.34	0.28	0.01	0.22	-0.13	0.18	0.02	0.64	0.23	0.31	0.04	0.48	-0.32	0.13	-0.18	-0.4	-0.12	0.21	-0.41	-0.22	-0.59	0.03	-0.18	-0.65	-0.51	0.08	0.35	0.3	-0.21	0.09	-0.01	-0.08	0.08
IMAGE:356827	chr6|nt10846314||W86069||ESTs	0.1	0.25	0.15	-0.03	0.41	-0.54	0.41	-0.03	0.1	-0.06	-0.6	-0.3	-0.2	-0.25	-0.12	-0.06	-0.15	0.06	-0.12	0.23	-0.27	-0.27	0.03	0.21	0.4	0.11	0.12	-0.01	-0.29	-0.32	-0.36	-0.23	-0.06	-0.17	0.26	0.23	0	0	0.06	0	-0.01	0.01	-0.25	0.34	0.37	0.29		-1.34	-0.36		-0.25		-0.22	0.26	0.05	0.36	0.63	0.84	-0.04	0.42	0.28	-0.62	1.1		0.76	-0.39	-1.46	0.19		-0.5	-0.32	-0.89	-1.16	0.7	0.06	-0.09	-0.21	1.61		-0.33	-0.82	0.21	0.5	-0.54			
IMAGE:195903	chr6|nt11055763|6pter-6p12.2|R92227|FLJ20624|hypothetical protein FLJ20624	-0.43	0.08	-0.12	-0.25	-0.14	0.33	-0.15	0.69	0.72	0.44	0.4	0.31	0.1	0.26	0.29	0.42		0.15	0.2	0.07	0.45	0.37	0.15	0.04	0.2	0.19	0.16	0.07	0.16	0.19	-0.17	-0.38	-0.01	0.19	0.31	0.07	0.07	-0.01	0.37	-0.17	0.14	-0.2	0.24	-0.01	-0.04	-0.15	0.09	0.09	0.41	-0.49	0.31	0.41	-0.03		0.59	-0.03	0.21	0.41	-0.32	-0.69	1.09	-0.32	0.68	-0.17	-0.17	0.51	0.21	-0.03	-0.69	0.09	0.83	0.09	-0.17	-0.17	0.21	0.97	0.41	0.09	0.31	-0.69	-0.91	-1.17	0.31	0.09	-0.49	-1.17	-0.49
IMAGE:429206	chr6|nt11677232||AA005360||ESTs						-0.2		0.01															-0.18	-0.09	0.24	0.39		-0.12	-0.18	-0.03	-0.27	0	-0.25	0	0.29	0.18	-0.18	0.07	0.15		-0.03	-0.23	-0.18					-1.18	-1.07	-1.07	0.5	-0.32	-0.49		-0.23	-0.81	-0.23	-0.59	-0.75	0.66	-0.1	0.13	-0.05	-0.34	-0.45	-0.01	0.02	-0.03		0.21	0.37	-0.32	0.54	0.4	0.36	-0.54	0.16	0.22		0.16	0.19	0.77	0.8	0.28			-0.59
IMAGE:47359	chr6|nt12893138|6p24.1|H11003|EDN1|endothelin 1	-0.12	0.04	-0.06	-0.14	-0.18	-0.12	0.37	0.32	0.11	-0.04	0.12	0.04	-0.09	-0.09	0.12	-0.17	-0.17	0.01	-0.2	-0.14	0.19	-0.14	-0.1	0	0.37	0.16	0.08	0.11	-0.09	-0.32	-0.01	0.23	0.04	-0.07	0.77	0.15	0.11	0.14	0.07	0.12	-0.06	-0.47		0.21	0.11	0.15	-1.52	-0.41	0.06	4.12	-0.34	0.39	0.03	3.02	-0.53	0.34	1.05	0.96	1.47	1.29	0.49	1.09	0.18	-1.16	-1.03	-0.72	-1.7	1.3	-1.79	-1.03	0.03	0.48	-1.79	1.35	-0.34	-2.39	0.7	-1.35	-0.95	-0.36	0.58	0.86	-1.96	1.61	0.27	-0.04	-0.09
IMAGE:241394	"chr6|nt14496915||H90373||Homo sapiens cDNA: FLJ23190 fis, clone LNG12190"	-0.04	0.23	-0.32	0.31		0	-0.1	-0.62	-1.15	0.24	-0.42	-0.79	-0.4	0.07	0.36	0.06	-0.04	-1	0.32	-0.03	-0.69	0.23	-1.15	-0.76	-0.84	0.04	-0.14	-0.49	-0.38		-0.18	0.08	-0.14	-0.04	-0.06	0.11	-1.4	-0.56	-0.09	-0.74	0.04	-1.29	-1.22	-0.84	-0.56	-1		-3.85			-0.3	-0.14	-0.25	-0.89	-0.29	-1.25	0.18	-0.34	-1.64	-1.76	0.15	0.03	0.71	-0.16	-0.06	-0.73	0.89	-0.49	-1.21	1	2.91	0.51	0.01	0.19	0.43	-1.76	0.1	0.26	1.11	-0.18	-0.09	1.05	0.23	0.25	0.6	1.2	-0.43
IMAGE:293013	chr6|nt14501116||N63768||ESTs	0.12	0.58	0.49	0.1	0.12	-0.69		-0.07		-1.6	-0.15	-0.03	-1.4	0	0	-0.14		0	-0.51	-0.34			-0.18	-0.49	-1.15	-0.69	-0.3	-0.23	-0.17	-0.09	-0.04	-0.22	-0.22	-0.12	0.06	-0.15	-0.14	-0.14		0.23	-0.3	-0.07	-0.09	0		0.06		0.8			-0.8	1.22	-0.15		0.34	-1	-0.33	0.65	-0.38	0.09	0.1	-0.14	-0.9		0.21	-0.01	-1.29	-0.36		-0.01	0.46	-0.51	1.12	0.32	0.68	0.01	-0.23				-0.53		1.56				
IMAGE:530185	"chr6|nt14828095|6p23|AA083671|CD83|CD83 antigen (activated B lymphocytes, immunoglobulin superfamily)"	-0.18	0.06	0.12	0.21	0.32	-0.03	-0.45	-0.01	-0.12	-0.18	-0.2	-0.34	-0.29	-0.4	-0.38	-0.29	-0.18	-0.42	-0.29	-0.4	0.1	-0.03	-0.3	-0.15	-0.06	-0.07	-0.29	-0.17	-0.22	0.03	-0.32	0.07	-0.03	-0.15	-0.18	0.03	0.15	0.25	-0.17	-0.04	0.01	-0.29	-0.27	0.12	0.14	-0.06	0.63	-0.49	-0.29	-0.78	0.08	0.15	0.15	-0.54	0.2	-0.24	0.13	-0.07	-0.14	0.06	0.04	-0.22	-0.46	-0.57	0.54	0.13	0.34	-0.03	-0.24	0.92	0.7	-0.29	-0.66	0.06	0.36	-0.07	0.02	-0.09	0.2	-0.27	0.3	-0.05	0.2	-0.02	-0.24	-0.05	-0.2
IMAGE:251407	chr6|nt15177686||H97976||ESTs	0.07	-0.07	-0.22	-0.07	-0.18	0.11	0.36	0.21	0.1	-0.32	-0.32	-0.14							-0.2					0.3				0.36			0.06				0.39	0.29	0.14		0.11	-0.14	0.08	-0.34		0.11	0	0.12	-0.39	-0.24	-1.27	-0.67		0.43	-0.38	1.43		0.38	-0.64		1.34	-0.48	-0.24	0.39	-0.17		-0.11	-0.55	-1.25	-0.44	-0.35		0.34	-0.52		1.01	-0.15	-0.26	-0.27	1.92		0.04	-0.04	-0.39	-0.37	0.05		-0.56	-0.26
IMAGE:270849	chr6|nt15219971||N32962||ESTs	0.16	-0.38	-0.32	-0.06	-0.15	-0.12	0.3	0.24	-0.18		-0.17	-0.15	0.01	-0.29	-0.15	0.12	-0.15	-0.04	-0.17	0.01	0.01	-0.32	-0.29	-0.03	0.29	-0.2	-0.03	-0.12	-0.14	-0.2	-0.32	-0.15	-0.3	-0.06	0.26	0.03	0.43	-0.4	-0.2	-0.23	-0.23	-0.79	-0.34	-0.03	-0.43	-0.3	0.63	0.98	1.32	1.57	-0.35	-0.83	-0.11	-0.26	-0.6	-0.19	-0.47	0.46	0.14	0.15	-0.1	-0.26	0.28	0.39	-0.71	0.35	-0.54	-0.6	-0.57	-0.3	-0.22	-0.65	-0.42	-0.04	-0.06	-0.37	-0.11	-0.47	0.2	1.52	-0.04	0.88	0.8	0.85	0.61	0.91	0.69
